Dataset,Algorithm,p,q,P,Q,MAE,RMSE,Metric,throughput_iters_per_sec,combo_sec
GDP,ARIMA,1,1,0,0,0.561611,0.782431,Best MAE & RMSE,95.5,1.26
GDP,Galerkin-SARIMA,0,5,0,1,0.561925,0.816591,Best MAE,2423.4,0.049
GDP,Galerkin-SARIMA,1,1,0,0,0.573915,0.791068,Best RMSE,2174.4,0.055
SP500,ARIMA,0,1,0,0,2.756642,3.795818,Best MAE,91.4,1.31
SP500,Galerkin-SARIMA,0,1,0,0,2.716512,3.781736,Best MAE,1226.8,0.098
